"Host bridge","0600","Intel Corporation Device ","8086:4e24","-","Intel Corporation Device [8086:7270]"
"VGA compatible controller","0300","Intel Corporation JasperLake [UHD Graphics] ","8086:4e61","01","Intel Corporation JasperLake [UHD Graphics] [8086:2212]"
"Signal processing controller","1180","Intel Corporation Dynamic Tuning service ","8086:4e03","-","Intel Corporation Dynamic Tuning service [8086:7270]"
"Multimedia controller","0480","Intel Corporation JasperLake IPU ","8086:4e19","-","Intel Corporation JasperLake IPU [8086:7270]"
"System peripheral","0880","Intel Corporation Device ","8086:4e11","-","Intel Corporation Device [8086:7270]"
"Serial bus controller","0C80","Intel Corporation Serial IO I2C Host Controller ","8086:4de8","01","-"
"Communication controller","0780","Intel Corporation Management Engine Interface ","8086:4de0","01","Intel Corporation Management Engine Interface [8086:7270]"
"PCI bridge","0604","Intel Corporation Device ","8086:4dba","01","Intel Corporation Device [8086:7270]"
"PCI bridge","0604","Intel Corporation Device ","8086:4dbb","01","Intel Corporation Device [8086:7270]"
"Ethernet controller","0200","Intel Corporation I211 Gigabit Network Connection ","8086:1539","03","Intel Corporation I211 Gigabit Network Connection [8086:0000]"
"Ethernet controller","0200","Intel Corporation Ethernet Controller I225-V ","8086:15f3","03","Intel Corporation Ethernet Controller I225-V [8086:0000]"
"Non-Volatile memory controller","0108","Sandisk Corp WD Blue SN500 / PC SN520 NVMe SSD ","15b7:5003","01","Sandisk Corp WD Blue SN500 / PC SN520 x2 M.2 2280 NVMe SSD [15b7:5003]"
"Ethernet controller","0200","Mellanox Technologies MT27500 Family [ConnectX-3] ","15b3:1003","-","Mellanox Technologies MT27500 Family [ConnectX-3] [15b3:0113]"
"Host bridge","0600","Intel Corporation Device ","8086:7d14","04","Lenovo Device [17aa:384b] Subsystem: Lenovo Device [17aa:3d23] Subsystem: Lenovo Device [17aa:383d]"
"PCI bridge","0604","Intel Corporation Device ","8086:7e4d","20","COMPAL Electronics Inc Device [14c0:0148]"
"PCI bridge","0604","Intel Corporation Device ","8086:7ecb","10","COMPAL Electronics Inc Device [14c0:0148] Subsystem: COMPAL Electronics Inc Device [14c0:0148] Subsystem: Lenovo Device [17aa:383c] Subsystem: Lenovo Device [17aa:383f] Subsystem: Lenovo Device [17aa:3846] Subsystem: COMPAL Electronics Inc Device [14c0:0148] Subsystem: Lenovo Device [17aa:383b] Subsystem: Lenovo Device [17aa:3829]"
