"1D6B","0002","[UNKNOWN_DEVICE_NAME]"
"046D","C52F","Logitech, Inc. Nano Receiver"
"13D3","5476","IMC Networks HD Camera"
"8087","0AAA","Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)"
"0C45","C077","Microdia IROK HE3 SE"
"8087","0029","Intel Corp. AX200 Bluetooth"
"30C9","0057","Luxvisions Innotech Limited Integrated RGB Camera"
"05E3","0610","Genesys Logic, Inc. Hub"
"0B05","19AF","ASUSTek Computer, Inc. AURA LED Controller"
"05E3","0608","Genesys Logic, Inc. Hub"
"05A3","9230","ARC International Camera"
"8087","0033","Intel Corp. AX211 Bluetooth"
"1A40","0101","Terminus Technology Inc. Hub"
"2304","5220","Pinnacle Systems, Inc. KS1A522"
"17EF","60EE","Lenovo TrackPoint Keyboard II"
"047D","80D6","Kensington Kensington SlimBlade Pro Trackball(2.4GHz Receiver)"
"0BDA","2173","Realtek Semiconductor Corp. BillBoard Device"
"03E7","2485","Intel Movidius MyriadX"
"17EF","3073","Lenovo USB2.0 Hub"
"2109","0102","VIA Labs, Inc. USB 2.0 BILLBOARD"
"05E3","0625","Genesys Logic, Inc. USB3.2 Hub"
"0BDA","8153","Realtek Semiconductor Corp. RTL8153 Gigabit Ethernet Adapter"
"17EF","3072","Lenovo USB3.0 Hub"
"2D95","6013","vivo iQOO 13"
"093A","2510","Pixart Imaging, Inc. Optical Mouse"
"05E3","0620","Genesys Logic, Inc. GL3523 Hub"
"2B7E","B663","SunplusIT Inc HD Webcam"
"062A","5918","MosArt Semiconductor Corp. 2.4G Keyboard Mouse"
"24AE","4005","Shenzhen Rapoo Technology Co., Ltd. Rapoo Gaming Keyboard"
"8087","0A2B","Intel Corp. Bluetooth wireless interface"
"04F2","B604","Chicony Electronics Co., Ltd Integrated Camera (1280x720@30)"
"06CB","009A","Synaptics, Inc. Metallica MIS Touch Fingerprint Reader"
"0BDA","0316","Realtek Semiconductor Corp. Card Reader"
"1C4F","0034","SiGma Micro XM102K Optical Wheel Mouse"
"04F2","B729","Chicony Electronics Co., Ltd Chicony USB2.0 Camera"
"8087","0026","Intel Corp. AX201 Bluetooth"
"8087","0024","Intel Corp. Integrated Rate Matching Hub"
"0BDA","0129","Realtek Semiconductor Corp. RTS5129 Card Reader Controller"
"09DA","0024","A4Tech Co., Ltd. A4tech 2.4G Wireless Device"
"13D3","3548","IMC Networks Bluetooth Radio"
"1A2C","7FFF","China Resource Semico Co., Ltd 2.4G Wireless Device"
"046D","C09D","Logitech, Inc. G102 LIGHTSYNC Gaming Mouse"
"1BCF","2D06","Sunplus Innovation Technology Inc. XiaoMi USB 2.0 Webcam"
"1A86","03AA","QinHeng Electronics"
"0CB8","C559","Opticis Co., Ltd Bluetooth Radio"
"256C","006D","GAOMON GAOMON Tablet_GM116HD V2"
"33A7","2388","Jiangxi OMS Microelectronics Co.,Ltd. fingerprint module"
"30C9","008C","Luxvisions Innotech Limited Integrated Camera"
"1EA7","0907","SHARKOON Technologies GmbH Keyboard"
"0CF2","7750","ENE Technology, Inc. 6K7750"
"0B95","1790","ASIX Electronics Corp. AX88179 Gigabit Ethernet"
"248A","8514","Maxxter"
"05E3","0610","Genesys Logic, Inc. 4-port hub"
"5986","118C","Bison Electronics Inc."
"06CB","0126","Synaptics, Inc."
"8087","0037","Intel Corp."
"06CB","00DA","Synaptics, Inc."
"2537","1081","Norelsys NS1081"
"2109","0820","VIA Labs, Inc."
"3554","F54F","[UNKNOWN_DEVICE_NAME]"
"12D1","10A2","Huawei Technologies Co., Ltd."
"12D1","109B","Huawei Technologies Co., Ltd."
"2109","2820","VIA Labs, Inc."
"048D","C103","Integrated Technology Express, Inc. ITE Device(8910)"
"13D3","784B","IMC Networks XHC Camera"
"27C6","6014","Shenzhen Goodix Technology Co.,Ltd. Goodix USB2.0 MISC"
"0E8D","0608","MediaTek Inc. Wireless_Device"
"0BC2","AB44","Seagate RSS LLC Backup Plus Hub"
"046D","C08B","Logitech, Inc. G502 SE HERO Gaming Mouse"
"04F2","B685","Chicony Electronics Co., Ltd Chicony USB2.0 Camera"
"0BC2","AB45","Seagate RSS LLC Backup+ Hub"
"0BC2","AB38","Seagate RSS LLC Backup Plus Hub (Mass Storage)"
