DeviceClass,ClassID,CurrentName,VID_PID,Rev,ProperName,NameSourceLink
Ethernet controller,0200,Loongson Technology LLC Device ,0014:7a13,-,,
SATA controller,0106,Loongson Technology LLC Device ,0014:7a18,-,,
System peripheral,0880,Loongson Technology LLC Device ,0014:7a1b,-,,
IOMMU,0806,Loongson Technology LLC Device ,0014:7a1f,-,,
Host bridge,0600,Loongson Technology LLC Device ,0014:7a20,01,,
Host bridge,0600,Loongson Technology LLC Device ,0014:7a30,-,,
USB controller,0C03,Loongson Technology LLC Device ,0014:7a34,-,,
Audio device,0403,Loongson Technology LLC Device ,0014:7a37,-,,
PCI bridge,0604,Loongson Technology LLC Device ,0014:7a39,-,,
PCI bridge,0604,Loongson Technology LLC Device ,0014:7a49,-,,
PCI bridge,0604,Loongson Technology LLC Device ,0014:7a59,-,,
PCI bridge,0604,Loongson Technology LLC Device ,0014:7a69,-,,
VGA compatible controller,0300,[AMD],1002:13c0,c1,,
Host bridge,0600,[AMD],1022:14d8,-,,
IOMMU,0806,[AMD],1022:14d9,-,,
Host bridge,0600,[AMD],1022:14da,-,,
PCI bridge,0604,[AMD],1022:14db,-,,
PCI bridge,0604,[AMD],1022:14dd,-,,
Host bridge,0600,[AMD],1022:14e0,-,,
Host bridge,0600,[AMD],1022:14e1,-,,
Host bridge,0600,[AMD],1022:14e2,-,,
Host bridge,0600,[AMD],1022:14e3,-,,
Host bridge,0600,[AMD],1022:14e4,-,,
Host bridge,0600,[AMD],1022:14e5,-,,
Host bridge,0600,[AMD],1022:14e6,-,,
Host bridge,0600,[AMD],1022:14e7,-,,
Host bridge,0600,[AMD],1022:14e8,-,,
IOMMU,0806,[AMD],1022:14e9,-,,
Host bridge,0600,[AMD],1022:14ea,-,,
PCI bridge,0604,[AMD],1022:14eb,-,,
Non-Essential Instrumentation,1300,[AMD],1022:14ec,-,,
PCI bridge,0604,[AMD],1022:14ed,-,,
PCI bridge,0604,[AMD],1022:14ee,-,,
Host bridge,0600,[AMD],1022:14f0,-,,
Host bridge,0600,[AMD],1022:14f1,-,,
Host bridge,0600,[AMD],1022:14f2,-,,
Host bridge,0600,[AMD],1022:14f3,-,,
Host bridge,0600,[AMD],1022:14f4,-,,
Host bridge,0600,[AMD],1022:14f5,-,,
Host bridge,0600,[AMD],1022:14f6,-,,
Host bridge,0600,[AMD],1022:14f7,-,,
USB controller,0C03,[AMD],1022:15b6,-,,
USB controller,0C03,[AMD],1022:15b7,-,,
USB controller,0C03,[AMD],1022:15b8,-,,
USB controller,0C03,[AMD],1022:15b9,-,,
USB controller,0C03,[AMD],1022:15ba,-,,
USB controller,0C03,[AMD],1022:15c0,-,,
USB controller,0C03,[AMD],1022:15c1,-,,
PCI bridge,0604,[AMD],1022:43ea,-,,
Audio device,0403,[NVIDIA],10de:10fa,a1,,
Audio device,0403,[NVIDIA],10de:2291,a1,,
Audio device,0403,[NVIDIA],10de:2291,a1,,
Bridge,0680,[NVIDIA],10de:22a3,a1,,
3D controller,0302,[NVIDIA],10de:2330,a1,,
Ethernet controller,0200,"Realtek Semiconductor Co., Ltd. Device ",10ec:8126,01,RTL8126 PCI Express 5GbE Family Controller,
Host bridge,0600,[AMD],14e8,-,,
IOMMU,0806,[AMD],14e9,-,,
Host bridge,0600,[AMD],14ea,-,,
PCI bridge,0604,[AMD],14eb,-,,
Non-Essential Instrumentation,1300,[AMD],14ec,-,,
PCI bridge,0604,[AMD],14ed,-,,
PCI bridge,0604,[AMD],14ee,-,,
Host bridge,0600,[AMD],14f0,-,,
Host bridge,0600,[AMD],14f1,-,,
Host bridge,0600,[AMD],14f2,-,,
Host bridge,0600,[AMD],14f3,-,,
Host bridge,0600,[AMD],14f4,-,,
Host bridge,0600,[AMD],14f5,-,,
Host bridge,0600,[AMD],14f6,-,,
Host bridge,0600,[AMD],14f7,-,,
